Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NewTestSuite,Firefox 69.0,,,2019-10-31 13:52:50,2019-10-31 13:54:12,1m - 21.696s,PASSED
,,,,,,,
Test Cases/QuickHandsOnTestCase4,Firefox 69.0,,,2019-10-31 13:52:50,2019-10-31 13:53:28,37.520s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-10-31 13:52:51,2019-10-31 13:52:59,8.003s,PASSED
"navigateToUrl(""http://192.168.56.101/"")",Firefox 69.0,,,2019-10-31 13:52:59,2019-10-31 13:52:59,0.604s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Contact""))",Firefox 69.0,,,2019-10-31 13:52:59,2019-10-31 13:53:02,2.825s,PASSED
"verifyTextPresent(""Contact"", false)",Firefox 69.0,,,2019-10-31 13:53:02,2019-10-31 13:53:04,2.064s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-31 13:53:04,2019-10-31 13:53:04,0.208s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Firefox 69.0,,,2019-10-31 13:53:04,2019-10-31 13:53:07,2.864s,PASSED
"verifyTextPresent(""Resources"", false)",Firefox 69.0,,,2019-10-31 13:53:07,2019-10-31 13:53:09,1.381s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-31 13:53:09,2019-10-31 13:53:09,0.209s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Training""))",Firefox 69.0,,,2019-10-31 13:53:09,2019-10-31 13:53:11,2.521s,PASSED
"verifyTextPresent(""Training"", false)",Firefox 69.0,,,2019-10-31 13:53:11,2019-10-31 13:53:13,2.072s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-31 13:53:13,2019-10-31 13:53:14,0.369s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Firefox 69.0,,,2019-10-31 13:53:14,2019-10-31 13:53:17,2.970s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-31 13:53:17,2019-10-31 13:53:17,0.146s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Reading""))",Firefox 69.0,,,2019-10-31 13:53:17,2019-10-31 13:53:19,1.605s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Firefox 69.0,,,2019-10-31 13:53:19,2019-10-31 13:53:21,2.768s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Newsletter""))",Firefox 69.0,,,2019-10-31 13:53:21,2019-10-31 13:53:22,0.602s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Firefox 69.0,,,2019-10-31 13:53:22,2019-10-31 13:53:23,0.819s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Create account""))",Firefox 69.0,,,2019-10-31 13:53:23,2019-10-31 13:53:23,0.492s,PASSED
"setText(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/input_Create account_username""), ""test123@welfare.ie"")",Firefox 69.0,,,2019-10-31 13:53:23,2019-10-31 13:53:24,0.590s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/input_Create account_password""), ""qP8g4ZP8zmxOyEuCUr69QQ=="")",Firefox 69.0,,,2019-10-31 13:53:24,2019-10-31 13:53:24,0.460s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/button_Sign in""))",Firefox 69.0,,,2019-10-31 13:53:24,2019-10-31 13:53:25,0.489s,PASSED
"setText(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/input_Email_email""), ""test@welfare.ie"")",Firefox 69.0,,,2019-10-31 13:53:25,2019-10-31 13:53:25,0.569s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/input_Password_password""), ""Wt9tj4kC2zrPXzAR6+1IxQ=="")",Firefox 69.0,,,2019-10-31 13:53:25,2019-10-31 13:53:26,0.326s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/button_Register""))",Firefox 69.0,,,2019-10-31 13:53:26,2019-10-31 13:53:26,0.438s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-31 13:53:26,2019-10-31 13:53:28,1.773s,PASSED
,,,,,,,
Test Cases/QuickHandsOnTestCase5,Firefox 69.0,,,2019-10-31 13:53:28,2019-10-31 13:53:43,15.560s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-10-31 13:53:28,2019-10-31 13:53:31,2.978s,PASSED
"navigateToUrl(""http://192.168.56.101/"")",Firefox 69.0,,,2019-10-31 13:53:31,2019-10-31 13:53:32,0.463s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Contact""))",Firefox 69.0,,,2019-10-31 13:53:32,2019-10-31 13:53:32,0.650s,PASSED
"verifyTextPresent(""Contact"", false)",Firefox 69.0,,,2019-10-31 13:53:32,2019-10-31 13:53:33,0.603s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-31 13:53:33,2019-10-31 13:53:33,0.138s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Firefox 69.0,,,2019-10-31 13:53:33,2019-10-31 13:53:33,0.529s,PASSED
"verifyTextPresent(""Resources"", false)",Firefox 69.0,,,2019-10-31 13:53:33,2019-10-31 13:53:34,0.363s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-31 13:53:34,2019-10-31 13:53:34,0.157s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Training""))",Firefox 69.0,,,2019-10-31 13:53:34,2019-10-31 13:53:34,0.379s,PASSED
"verifyTextPresent(""Training"", false)",Firefox 69.0,,,2019-10-31 13:53:34,2019-10-31 13:53:35,0.574s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-31 13:53:35,2019-10-31 13:53:35,0.153s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Firefox 69.0,,,2019-10-31 13:53:35,2019-10-31 13:53:36,0.502s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-31 13:53:36,2019-10-31 13:53:36,0.219s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Reading""))",Firefox 69.0,,,2019-10-31 13:53:36,2019-10-31 13:53:36,0.503s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Firefox 69.0,,,2019-10-31 13:53:36,2019-10-31 13:53:37,0.875s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Newsletter""))",Firefox 69.0,,,2019-10-31 13:53:37,2019-10-31 13:53:38,0.558s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Firefox 69.0,,,2019-10-31 13:53:38,2019-10-31 13:53:39,0.828s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Create account""))",Firefox 69.0,,,2019-10-31 13:53:39,2019-10-31 13:53:39,0.533s,PASSED
