Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
E2E Page_Mad Irish Hacking Academy,Firefox 70.0,,,2019-12-19 12:42:16,2019-12-19 12:43:40,1m - 24.207s,PASSED
,,,,,,,
Test Cases/Test 1 - Landing Page Verification,Firefox 70.0,,,2019-12-19 12:42:16,2019-12-19 12:42:32,15.671s,PASSED
"openBrowser(""http://192.168.56.101/"")",Firefox 70.0,,,2019-12-19 12:42:17,2019-12-19 12:42:23,6.152s,PASSED
"click(findTestObject(""Top Bar on every page/a_Mad Irish Hacking Academy""))",Firefox 70.0,,,2019-12-19 12:42:23,2019-12-19 12:42:24,0.922s,PASSED
"callTestCase(findTestCase(""Utilities and Prechecks/Initial Checks on every page""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-12-19 12:42:24,2019-12-19 12:42:28,3.799s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/a_Learn more""), 0)",Firefox 70.0,,,2019-12-19 12:42:28,2019-12-19 12:42:28,0.278s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/h2_Live Training""), 0)",Firefox 70.0,,,2019-12-19 12:42:28,2019-12-19 12:42:28,0.340s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/p_Browse our catalog of upcoming courses an_5f7925""), 0)",Firefox 70.0,,,2019-12-19 12:42:28,2019-12-19 12:42:29,0.273s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/a_View details_Live_Training""), 0)",Firefox 70.0,,,2019-12-19 12:42:29,2019-12-19 12:42:29,0.288s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/h2_Reading Room""), 0)",Firefox 70.0,,,2019-12-19 12:42:29,2019-12-19 12:42:29,0.256s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/p_Look through our extensive collection of _48c044""), 0)",Firefox 70.0,,,2019-12-19 12:42:29,2019-12-19 12:42:29,0.258s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/a_View details_Reading_Room""), 0)",Firefox 70.0,,,2019-12-19 12:42:29,2019-12-19 12:42:30,0.260s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/h2_Newsletter""), 0)",Firefox 70.0,,,2019-12-19 12:42:30,2019-12-19 12:42:30,0.254s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/a_View details_Newsletter""), 0)",Firefox 70.0,,,2019-12-19 12:42:30,2019-12-19 12:42:30,0.256s,PASSED
"callTestCase(findTestCase(""Utilities and Prechecks/Close Browser""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-12-19 12:42:30,2019-12-19 12:42:32,1.920s,PASSED
,,,,,,,
Test Cases/Test 2 - About Page Verification,Firefox 70.0,,,2019-12-19 12:42:32,2019-12-19 12:42:44,11.973s,PASSED
"openBrowser(""http://192.168.56.101/"")",Firefox 70.0,,,2019-12-19 12:42:32,2019-12-19 12:42:36,3.621s,PASSED
"click(findTestObject(""Top Bar on every page/b_Contact_caret""))",Firefox 70.0,,,2019-12-19 12:42:36,2019-12-19 12:42:37,0.845s,PASSED
"click(findTestObject(""Top Bar on every page/a_About""))",Firefox 70.0,,,2019-12-19 12:42:37,2019-12-19 12:42:37,0.584s,PASSED
"callTestCase(findTestCase(""Utilities and Prechecks/Initial Checks on every page""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-12-19 12:42:37,2019-12-19 12:42:41,3.485s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy About Page/h1_Mad Irish Hacking Academy""), 0)",Firefox 70.0,,,2019-12-19 12:42:41,2019-12-19 12:42:41,0.265s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy About Page/p_Learn the critical technical skills neces_924597""), 0)",Firefox 70.0,,,2019-12-19 12:42:41,2019-12-19 12:42:41,0.249s,PASSED
"callTestCase(findTestCase(""Utilities and Prechecks/Close Browser""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-12-19 12:42:41,2019-12-19 12:42:44,2.749s,PASSED
,,,,,,,
Test Cases/Test 3 - Contact Page Verification,Firefox 70.0,,,2019-12-19 12:42:44,2019-12-19 12:42:56,11.542s,PASSED
"openBrowser(""http://192.168.56.101/"")",Firefox 70.0,,,2019-12-19 12:42:44,2019-12-19 12:42:48,3.349s,PASSED
"click(findTestObject(""Top Bar on every page/b_Contact_caret""))",Firefox 70.0,,,2019-12-19 12:42:48,2019-12-19 12:42:48,0.862s,PASSED
"click(findTestObject(""Top Bar on every page/a_Contact""))",Firefox 70.0,,,2019-12-19 12:42:48,2019-12-19 12:42:49,0.543s,PASSED
"callTestCase(findTestCase(""Utilities and Prechecks/Initial Checks on every page""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-12-19 12:42:49,2019-12-19 12:42:53,3.504s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Contact Page/h1_Contact""), 0)",Firefox 70.0,,,2019-12-19 12:42:53,2019-12-19 12:42:53,0.253s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Contact Page/Contact Page content""), 0)",Firefox 70.0,,,2019-12-19 12:42:53,2019-12-19 12:42:53,0.253s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Contact Page/input_Your name_name""), 0)",Firefox 70.0,,,2019-12-19 12:42:53,2019-12-19 12:42:53,0.252s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Contact Page/input_Your email_email""), 0)",Firefox 70.0,,,2019-12-19 12:42:53,2019-12-19 12:42:54,0.292s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Contact Page/textarea_Your message_body""), 0)",Firefox 70.0,,,2019-12-19 12:42:54,2019-12-19 12:42:54,0.251s,PASSED
"callTestCase(findTestCase(""Utilities and Prechecks/Close Browser""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-12-19 12:42:54,2019-12-19 12:42:56,1.836s,PASSED
,,,,,,,
Test Cases/Test 4 - Trainings Page Verification,Firefox 70.0,,,2019-12-19 12:42:56,2019-12-19 12:43:07,11.187s,PASSED
"openBrowser(""http://192.168.56.101/"")",Firefox 70.0,,,2019-12-19 12:42:56,2019-12-19 12:42:59,3.467s,PASSED
"click(findTestObject(""Top Bar on every page/b_Contact_caret""))",Firefox 70.0,,,2019-12-19 12:42:59,2019-12-19 12:43:00,0.764s,PASSED
"click(findTestObject(""Top Bar on every page/a_Training""))",Firefox 70.0,,,2019-12-19 12:43:00,2019-12-19 12:43:01,0.598s,PASSED
