Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
E2E Page_Mad Irish Hacking Academy,Chrome 79.0.3945.88,,,2019-12-23 09:55:33,2019-12-23 09:56:58,1m - 25.026s,PASSED
,,,,,,,
Test Cases/Page_Mad Irish Hacking Academy/Element Verification/Test 1 - Landing Page Verification,Chrome 79.0.3945.88,,,2019-12-23 09:55:33,2019-12-23 09:55:46,13.414s,PASSED
"openBrowser(""http://192.168.56.101/"")",Chrome 79.0.3945.88,,,2019-12-23 09:55:33,2019-12-23 09:55:38,5.010s,PASSED
"click(findTestObject(""Page_Mad Irish Hacking Academy/Top Bar on every page/a_Mad Irish Hacking Academy""))",Chrome 79.0.3945.88,,,2019-12-23 09:55:38,2019-12-23 09:55:39,0.781s,PASSED
"callTestCase(findTestCase(""Page_Mad Irish Hacking Academy/Utilities and Prechecks/Initial Checks on every page""), [:], STOP_ON_FAILURE)",Chrome 79.0.3945.88,,,2019-12-23 09:55:39,2019-12-23 09:55:43,4.069s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy/Page_Mad Irish Hacking Academy Landing Page/a_Learn more""), 0)",Chrome 79.0.3945.88,,,2019-12-23 09:55:43,2019-12-23 09:55:43,0.276s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy/Page_Mad Irish Hacking Academy Landing Page/h2_Live Training""), 0)",Chrome 79.0.3945.88,,,2019-12-23 09:55:43,2019-12-23 09:55:44,0.501s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy/Page_Mad Irish Hacking Academy Landing Page/p_Browse our catalog of upcoming courses an_5f7925""), 0)",Chrome 79.0.3945.88,,,2019-12-23 09:55:44,2019-12-23 09:55:44,0.388s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy/Page_Mad Irish Hacking Academy Landing Page/a_View details_Live_Training""), 0)",Chrome 79.0.3945.88,,,2019-12-23 09:55:44,2019-12-23 09:55:45,0.276s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy/Page_Mad Irish Hacking Academy Landing Page/h2_Reading Room""), 0)",Chrome 79.0.3945.88,,,2019-12-23 09:55:45,2019-12-23 09:55:45,0.264s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy/Page_Mad Irish Hacking Academy Landing Page/p_Look through our extensive collection of _48c044""), 0)",Chrome 79.0.3945.88,,,2019-12-23 09:55:45,2019-12-23 09:55:45,0.464s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy/Page_Mad Irish Hacking Academy Landing Page/a_View details_Reading_Room""), 0)",Chrome 79.0.3945.88,,,2019-12-23 09:55:45,2019-12-23 09:55:46,0.265s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy/Page_Mad Irish Hacking Academy Landing Page/h2_Newsletter""), 0)",Chrome 79.0.3945.88,,,2019-12-23 09:55:46,2019-12-23 09:55:46,0.259s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy/Page_Mad Irish Hacking Academy Landing Page/a_View details_Newsletter""), 0)",Chrome 79.0.3945.88,,,2019-12-23 09:55:46,2019-12-23 09:55:46,0.260s,PASSED
"callTestCase(findTestCase(""Page_Mad Irish Hacking Academy/Utilities and Prechecks/Close Browser""), [:], STOP_ON_FAILURE)",Chrome 79.0.3945.88,,,2019-12-23 09:55:46,2019-12-23 09:55:46,0.267s,PASSED
,,,,,,,
Test Cases/Page_Mad Irish Hacking Academy/Element Verification/Test 2 - About Page Verification,Chrome 79.0.3945.88,,,2019-12-23 09:55:46,2019-12-23 09:55:55,8.575s,PASSED
"openBrowser(""http://192.168.56.101/"")",Chrome 79.0.3945.88,,,2019-12-23 09:55:47,2019-12-23 09:55:49,2.300s,PASSED
"click(findTestObject(""Page_Mad Irish Hacking Academy/Top Bar on every page/b_Contact_caret""))",Chrome 79.0.3945.88,,,2019-12-23 09:55:49,2019-12-23 09:55:50,0.651s,PASSED
"click(findTestObject(""Page_Mad Irish Hacking Academy/Top Bar on every page/a_About""))",Chrome 79.0.3945.88,,,2019-12-23 09:55:50,2019-12-23 09:55:50,0.398s,PASSED
"callTestCase(findTestCase(""Page_Mad Irish Hacking Academy/Utilities and Prechecks/Initial Checks on every page""), [:], STOP_ON_FAILURE)",Chrome 79.0.3945.88,,,2019-12-23 09:55:50,2019-12-23 09:55:54,3.948s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy/Page_Mad Irish Hacking Academy About Page/h1_Mad Irish Hacking Academy""), 0)",Chrome 79.0.3945.88,,,2019-12-23 09:55:54,2019-12-23 09:55:54,0.356s,PASSED
